Código do Município;Município;Estado;Região;Região Metropolitana;Ano de Referência;Código do Prestador;Prestador;Sigla do Prestador;Natureza Jurídica;POP_TOT - População total do município (Fonte: IBGE):;POP_URB - População urbana do município (Fonte: IBGE);CS001 - Existe coleta seletiva formalizada pela prefeitura no município?;CS050 - População urbana do município atendida com a coleta seletiva do tipo porta a porta executada pela Prefeitura (ou SLU);FN201 - A Prefeitura (Prestadora) cobra pelos serviços de coleta regular, transporte e destinação final de RSU (Antigo campo GE012);FN220 - Despesa total com serviços de manejo de RSU (Antigo campo GE007);FN221 - Receita orçada com a cobrança de taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE005);FN222 - Receita arrecadada com taxas e tarifas referentes à gestão e manejo de RSU (Antigo campo GE006);FN223 - Despesa Corrente da Prefeitura durante o ano com TODOS os serviços do município (saúde, educação, pagamento de pessoal, etc.). (Antigo campo GE010);FN224 - A Prefeitura recebeu algum recurso federal para aplicação no setor de manejo de RSU? (Antigo campo GE025);FN225 - Valor repassado (Antigo campo GE026);FN226 - Tipo de recurso (Antigo campo GE028);PO021 - O município definiu mecanismos de participação e controle social?;PO036 - Limpeza pública e manejo de resíduos sólidos;PO040 - As metas do plano para os resíduos sólidos estão sendo alcançadas?;PO042 - O município é integrante de algum CONSÓRCIO INTERMUNICIPAL regulamentado pela Lei nº 11.107/2005 que tenha entre suas atribuições específicas a gestão ou prestação de um ou mais serviços de manejo de RSU (serviços de coleta de resíduos domiciliares ou públicos, operações de aterro sanitário etc.);PO044 - Qual o ano de adesão do município ao referido consórcio intermunicipal?;PO048 - O Município possui Plano Municipal de Gestão Integrada de Resíduos Sólidos (PMGIRS) conforme a Lei nº 12.305/2010 que trata da Política Nacional de Resíduos Sólidos?;PO049 - Quando foi aprovado?;PO050 - O Plano de Gestão de Resíduos Sólidos referido anteriormente é individualizado (somente para o município) ou é intermunicipal (regional) contemplando também outros municípios? ATENÇÃO: Não considerar o Plano Estadual como resposta!!!;PO051 - Quais os demais municípios abrangidos pelo Plano de Gestão [Regional]?;TB014 - Quantidade de trabalhadores de agentes privados envolvidos nos serviços de manejo de RSU (Antigo campo GE016);IN006 - Despesa per capita com manejo de rsu em relação à população urbana
320530;Vitória;ES;Sudeste     ;RM Grande Vitória;2020;32053040;SECRETARIA CENTRAL DE SERVIÇOS;CS;Administração pública direta;365.855;365.855;Sim;95.000;Sim;97.407.001,43;40.220.019,00;40.338.393,97;1.517.861.067,99;Não;;;Sim;Sim;Sim;Não;;Não;jun/16;;;925;266,24
310020;Abaeté;MG;Sudeste     ;;2020;31002040;Prefeitura Municipal de Abaeté;PMA;Administração pública direta;23.250;20.190;Não;;Não;279.000,00;;;35.000.000,00;Não;;;Sim;Sim;Sim;Não;;Não;;;;0;13,82
310030;Abre Campo;MG;Sudeste     ;;2020;31003040;PREFEITURA MUNICIPAL DE ABRE CAMPO;PMAC;Administração pública direta;13.444;7.354;Sim;6.000;Sim;1.406.967,76;35.700,00;32.004,31;35.715.391,21;Não;;;;;;Não;;Não;;;;0;191,32
310040;Acaiaca;MG;Sudeste     ;;2020;31004040;Prefeitura Municipal de Acaiaca;PMA;Administração pública direta;3.994;2.601;Não;;Não;176.719,00;;;13.035.057,10;;;;Sim;Sim;Sim;Não;;Não;;;;5;67,94
310050;Açucena;MG;Sudeste     ;RM Vale do Aço;2020;31005040;Prefeitura Municipal de Açucena;PMA;Administração pública direta;9.368;4.380;Sim;4.370;Sim;501.900,00;700.000,00;550.000,00;18.753.078,90;Não;;;Sim;Sim;Não;Não;;Não;;;;0;114,59
310060;Água Boa;MG;Sudeste     ;;2020;31006040;SECRETARIA MUNICIPAL DE OBRAS, TRANSPORTES E URBANISMO;SEMOTURB;Administração pública direta;13.523;6.261;Não;;Não;956.876,30;;;25.003.906,08;Não;;;Sim;Sim;Sim;Não;;Não;;;;10;152,83
310070;Água Comprida;MG;Sudeste     ;;2020;31007040;PREFEITURA MUNICIPAL DE ÁGUA COMPRIDA;PMAC;Administração pública direta;1.992;1.495;Sim;1.495;Não;234.784,30;;;18.885.208,75;Não;;;Sim;Sim;Não;Sim;;Sim;;Municipal;;0;157,05
310080;Aguanil;MG;Sudeste     ;;2020;31008040;PREFEITURA MUNICIPAL DE AGUANIL;PM;Administração pública direta;4.522;2.616;Sim;2.595;Não;479.909,12;;;18.302.470,22;;;;;;;Sim;;Não;;;;0;183,45
310090;Águas Formosas;MG;Sudeste     ;;2020;31009040;PREFEITURA MUNICIPAL DE ÁGUAS FORMOSAS;PMAF;Administração pública direta;19.247;14.913;Não;;Não;982.500,00;;;14.500.000,00;Não;;;;;;Não;;Não;;;;10;65,88
310100;Águas Vermelhas;MG;Sudeste     ;;2020;31010040;Prefeitura Municipal de Águas Vermelhas;PMAV;Administração pública direta;13.599;9.557;Não;;Sim;865.194,12;32.032,88;25.738,12;32.738.896,44;Não;;;;;;Sim;;Não;;;;8;90,53
310110;Aimorés;MG;Sudeste     ;;2020;31011040;PREFEITURA MUNICIPAL DE AIMORES;PMA;Administração pública direta;25.141;19.844;Não;;Não;545.000,00;;;91.187.000,00;;;;;;;Não;;Sim;;Municipal;;0;27,46
310120;Aiuruoca;MG;Sudeste     ;;2020;31012040;PREFEITURA MUNICIPAL DE AIURUOCA;PMA;Administração pública direta;5.976;3.029;Não;;Não;78.585,38;;;21.395.515,02;Não;;;;;;Sim;;Não;;;;5;25,94
310140;Albertina;MG;Sudeste     ;;2020;31014040;Prefeitura Municipal de Albertina;PMA;Administração pública direta;3.011;2.080;Não;;Não;31.476,00;;;12.000.000,00;Não;;;;;;Sim;;Não;;;;0;15,13
310160;Alfenas;MG;Sudeste     ;;2020;31016040;Prefeitura Municipal de Alfenas;Prefeitura;Administração pública direta;80.494;75.477;Sim;;Sim;6.609.910,97;6.000.000,00;6.000.000,00;348.900.000,00;Não;;;;;;Não;;Não;;;;63;87,58
310163;Alfredo Vasconcelos;MG;Sudeste     ;;2020;31016340;Prefeitura Municipal de Alfredo Vasconcelos;PMAV;Administração pública direta;6.981;4.632;Não;;Não;255.805,94;;;15.714.992,52;Não;;;;;;Não;;Não;;;;0;55,23
310170;Almenara;MG;Sudeste     ;;2020;31017040;PREFEITURA MUNICIPAL DE ALMENARA;PMA;Administração pública direta;42.143;34.508;Sim;10.000;Não;1.104.440,00;;;97.232.405,44;Não;;;Não;Não;;Não;;Não;;;;91;32,01
310180;Alpercata;MG;Sudeste     ;;2020;31018040;Prefeitura Municipal de Alpercata;PMA;Administração pública direta;7.436;5.868;Não;;Não;805.151,00;;;24.156.183,54;;;;;;;Não;;Sim;;Municipal;;0;137,21
310190;Alpinópolis;MG;Sudeste     ;;2020;31019040;Prefitura Municipal de Alpinólpolis;PMA;Administração pública direta;19.958;16.182;Não;;Não;1.466.386,60;;;37.432.966,04;Não;;;Não;Sim;Sim;Não;;Não;;;;0;90,62
310205;Alto Caparaó;MG;Sudeste     ;;2020;31020540;Prefeitura Municipal de Alto Caparaó;PMAC;Administração pública direta;5.894;4.411;Não;;Não;146.400,00;;;14.999.506,27;Não;;;;;;Não;;Não;;;;0;33,19
310210;Alto Rio Doce;MG;Sudeste     ;;2020;31021040;Prefeitura Municipal de Alto Rio Doce;PMARD;Administração pública direta;10.859;4.528;Sim;4.154;Não;347.968,34;;;26.692.477,93;;;;;;;Não;;Sim;dez/16;Municipal;;0;76,85
310220;Alvarenga;MG;Sudeste     ;;2020;31022040;Prefeitura Municipal de Alvarenga;PMA;Administração pública direta;3.844;1.833;Sim;1.833;Sim;762.000,00;;19.991,10;18.177.009,53;Não;;;Não;Não;;Sim;;Sim;abr/16;Municipal;;1;415,71
310230;Alvinópolis;MG;Sudeste     ;;2020;31023040;Prefeitura Municipal de Alvinópolis;PMA;Administração pública direta;15.169;11.364;Não;;Não;151.702,55;;;38.504.198,30;Não;;;;Sim;Sim;Sim;;Não;;;;0;13,35
310240;Alvorada de Minas;MG;Sudeste     ;;2020;31024040;Prefeitura Municipal de Alvorada de Minas;PMAM;Administração pública direta;3.605;1.474;Sim;1.474;Não;513.419,04;;;31.688.124,90;;;;;;;Sim;;Não;;;;0;348,32
310250;Amparo do Serra;MG;Sudeste     ;;2020;31025040;Prefeitura Municipal de Amparo do Serra;PMAS;Administração pública direta;4.678;2.446;Não;;Não;61.000,00;;;11.642.716,64;;;;;;;Não;;Não;;;;0;24,94
310260;Andradas;MG;Sudeste     ;;2020;31026040;Prefeitura Municipal de Andradas;PMA;Administração pública direta;41.396;31.129;Sim;31.129;Sim;3.114.692,71;1.222.758,03;1.024.376,86;93.000.825,55;Não;;;;Sim;;Sim;;Sim;dez/15;Municipal;;0;100,06
310270;Cachoeira de Pajeú;MG;Sudeste     ;;2020;31027040;Prefeitura Municipal de Cachoeira de Pajeú;PMCP;Administração pública direta;9.442;4.702;Não;;Não;398.400,00;;;25.000.000,00;;;;;;;Não;;Não;;;;0;84,73
310280;Andrelândia;MG;Sudeste     ;;2020;31028040;PREFEITURA MUNICIPAL;PMA;Administração pública direta;12.206;9.837;Não;;Não;991.147,67;;;33.565.485,27;;;;;;;Não;;Não;;;;0;100,76
310290;Antônio Carlos;MG;Sudeste     ;;2020;31029040;SECRETÁRIA DE OBRAS E URBANISMO;SOBU;Administração pública direta;11.459;8.069;Não;;Não;363.707,87;;;27.929.897,85;Não;;;Sim;;;Não;;Não;;;;0;45,07
310300;Antônio Dias;MG;Sudeste     ;RM Vale do Aço;2020;31030040;Prefeitura Municipal de Antônio Dias;PMAD;Administração pública direta;9.275;4.530;Não;;Não;324.965,99;;;2.000.000,00;Não;;;Não;Sim;Sim;Não;;Não;;;;0;71,74
310330;Aracitaba;MG;Sudeste     ;;2020;31033040;Prefeitura Municipal de Aracitaba;PMA;Empresa pública;2.059;1.642;Não;;Não;403.414,84;;;11.441.151,97;Não;;;;;;Não;;Sim;set/11;Municipal;;13;245,69
310340;Araçuaí;MG;Sudeste     ;;2020;31034040;Secretaria Municipal de Desenvolvimento Urbano;SMDU;Administração pública direta;36.712;23.890;Não;;Não;2.786.158,83;;;80.549.541,74;;;;;;;Não;;Não;;;;0;116,62
310350;Araguari;MG;Sudeste     ;;2020;31035040;SECRETARIA MUNICIPAL DE SERVIÇOS URBANOS / SECRETARIA MUNICIPAL  DE MEIO AMBIENTE;SMSU/SMMA;Administração pública direta;117.825;110.080;Sim;20.000;Sim;8.471.721,50;3.894.625,68;2.566.995,22;290.436.946,22;Não;;;Sim;Sim;;Não;;Sim;;Municipal;;147;76,96
310370;Araponga;MG;Sudeste     ;;2020;31037040;Prefeitura Municpal de Araponga;PMA;Administração pública direta;8.453;3.153;Não;;Não;289.958,72;;;24.095.910,00;Não;;;Não;Sim;Não;Não;;Sim;dez/16;Municipal;;0;91,96
310375;Araporã;MG;Sudeste     ;;2020;31037540;Prefeitura Municipal de Araporã;PMA;Administração pública direta;6.931;6.653;Sim;6.653;Não;780.846,05;;;69.000.000,00;Não;;;Sim;Sim;Sim;Não;;Sim;set/15;Municipal;;6;117,37
310400;Araxá;MG;Sudeste     ;;2020;31040040;Prefeitura Municipal de Araxá;PMA;Administração pública direta;107.337;105.747;Sim;92.000;Sim;5.733.863,06;;2.634.558,19;457.523.821,11;;;;;;;Não;;Sim;;Municipal;;115;54,22
310410;Arceburgo;MG;Sudeste     ;;2020;31041040;Cidopfer Terraplanagem e Construção Ltda;CIDOPFER;Empresa pública;10.883;9.361;Não;;Sim;1.382.877,60;1.382.877,60;1.382.877,60;15.000.000,00;Não;;;Não;Sim;Sim;Não;;Não;;;;25;147,73
310420;Arcos;MG;Sudeste     ;;2020;31042040;PREFEITURA MUNICIPAL ARCOS;PMA;Administração pública direta;40.380;37.472;Sim;37.204;Sim;5.076.549,16;435.000,00;528.799,85;113.434.274,25;Não;;;Sim;Sim;;Não;;Sim;;Municipal;;43;135,48
310440;Argirita;MG;Sudeste     ;;2020;31044040;Prefeitura Municipal de Argirita;PMA;Administração pública direta;2.704;2.043;Não;;Não;335.896,00;;;15.832.811,47;Não;;;;Sim;Não;Não;;Não;;;;0;164,41
310445;Aricanduva;MG;Sudeste     ;;2020;31044540;Prefeitura Municipal de Aricanduva;PMA;Administração pública direta;5.269;1.872;Não;;Não;361.171,67;;;15.749.514,55;Não;;;;;;Não;;Não;;;;0;192,93
310450;Arinos;MG;Sudeste     ;;2020;31045040;Prefeitura Municipal de Arinos;PMA;Administração pública direta;17.862;10.969;Não;;Sim;984.324,07;100.000,00;362.014,00;46.723.847,51;Não;;;;;;Não;;Não;;;;6;89,74
310460;Astolfo Dutra;MG;Sudeste     ;;2020;31046040;Prefeitura Municipal de Astolfo Dutra;PMAD;Administração pública direta;14.270;12.994;Sim;;Sim;2.286.789,71;30.000,00;31.661,39;31.950.022,65;Não;;;;;;Não;;Não;;;;44;175,99
310470;Ataléia;MG;Sudeste     ;;2020;31047040;Prefeitura Municipal;PM;Administração pública direta;12.678;6.314;Não;;Não;1.427.200,00;;;28.546.321,95;Não;;;;;;Não;;Não;;;;0;226,04
310480;Augusto de Lima;MG;Sudeste     ;;2020;31048040;Prefeitura Municipal de Augusto de Lima;PMAL;Administração pública direta;4.851;2.860;Não;;Não;55.000,00;;;20.204.047,23;;;;;;;Não;;Sim;;Municipal;;0;19,23
310490;Baependi;MG;Sudeste     ;;2020;31049040;Departamento Municipal de Desenvolvimento Urbano e Rural;DMDUR;Administração pública direta;19.199;13.892;Não;;Sim;858.600,00;181.180,69;132.540,92;50.039.144,00;;;;;;;Não;;Não;;;;5;61,81
310500;Baldim;MG;Sudeste     ;RM Belo Horizonte ;2020;31050040;Secretaria Municipal de Meio Ambiente;SMMA;Administração pública direta;7.803;4.997;Sim;;Não;560.989,08;;;20.913.664,89;;;;Sim;Sim;Não;Sim;;Não;;;;1;112,27
310510;Bambuí;MG;Sudeste     ;;2020;31051040;Prefeitura Municipal de Bambuí;PMB;Administração pública direta;23.898;20.314;Sim;;Sim;2.278.266,85;392.834,88;240.217,01;70.600.569,87;Não;;;;;;Sim;;Não;;;;10;112,15
310520;Bandeira;MG;Sudeste     ;;2020;31052040;SECRETARIA MUNICIPAL DE OBRAS, SERVIÇOS E TRANSPORTES;SMOST;Administração pública direta;4.766;2.272;Não;;Não;383.407,22;;;17.866.473,82;;;;;;;Não;;Não;;;;0;168,75
310530;Bandeira do Sul;MG;Sudeste     ;;2020;31053040;Prefeitura Municipal de Bandeira do Sul;PMBS;Administração pública direta;5.778;5.271;Sim;2.748;Não;154.594,01;;;20.788.426,29;Não;;;;;;Não;;Não;;;;0;29,33
310540;Barão de Cocais;MG;Sudeste     ;RM Belo Horizonte ;2020;31054040;Prefeitura Municipal de Barão de Cocais;PMBC;Administração pública direta;32.866;29.797;Sim;14.800;Sim;5.654.731,16;;84.382,38;110.788.068,56;Não;;;;Sim;;Não;;Sim;ago/18;Municipal;;44;189,78
310560;Barbacena;MG;Sudeste     ;;2020;31056040;Prefeitura Municipal de Barbacena;PMB;Administração pública direta;138.204;126.477;Não;;Sim;8.566.949,66;9.718.584,48;6.503.443,84;363.522.053,12;Não;;;Sim;Sim;;Não;;Não;;;;18;67,74
310590;Barroso;MG;Sudeste     ;;2020;31059040;SECRETARIA MUNICIPAL DE INFRAESTRUTURA;SEMINFRA;Empresa pública;20.897;20.236;Sim;6.000;Não;1.482.745,36;;;41.863.807,48;Não;;;Não;Sim;Sim;Sim;;Sim;ago/16;Intermunicipal;[1 municípios]: São João del Rei - MG;13;73,27
310600;Bela Vista de Minas;MG;Sudeste     ;;2020;31060040;Prefeitura Municipal de Bela Vista de Minas;PMBVM;Administração pública direta;10.262;9.620;Não;;Sim;1.793.830,23;28.189,95;17.000,00;31.464.140,17;Não;;;;Sim;Não;Sim;;Não;;;;18;186,47
310620;Belo Horizonte;MG;Sudeste     ;RM Belo Horizonte ;2020;31062040;SUPERINTENDÊNCIA DE LIMPEZA URBANA DE BELO HORIZONTE;SLU;Autarquia;2.521.564;2.521.564;Sim;387.719;Sim;408.882.336,00;295.626.597,00;281.190.346,00;12.736.799.948,22;Não;;;Sim;Sim;Sim;Não;;Sim;mar/17;Municipal;;2.883;162,15
310630;Belo Oriente;MG;Sudeste     ;RM Vale do Aço;2020;31063040;Prefeitura Municipal de Belo Oriente;PMBO;Administração pública direta;26.994;22.708;Sim;22.461;Sim;2.615.706,51;304.342,50;136.250,32;125.155.714,24;Não;;;Sim;Sim;Sim;Não;;Não;;;;64;115,19
310640;Belo Vale;MG;Sudeste     ;RM Belo Horizonte ;2020;31064040;Secretaria Municipal de Meio Ambiente;SMMA;Administração pública direta;7.719;3.375;Sim;3.375;Não;223.759,41;;;42.000.000,00;Não;;;Não;Sim;Sim;Não;;Sim;out/15;Municipal;;0;66,3
310650;Berilo;MG;Sudeste     ;;2020;31065040;PREFEITURA MUNICIPAL DE BERILO;PMB;Administração pública direta;11.872;3.753;Não;;Não;991.736,06;;;24.460.947,64;Não;;;Não;;;Não;;Não;;;;0;264,25
310660;Bertópolis;MG;Sudeste     ;;2020;31066040;PREFEITURA MUNICIPAL DE BERTOPOLIS;PMB;Empresa pública;4.607;2.797;Não;;Não;854.225,00;;;21.500.000,00;Não;;;;;;Não;;Não;;;;0;305,41
310665;Berizal;MG;Sudeste     ;;2020;31066540;Prefeitura Municipal de Berizal;PMB;Administração pública direta;4.764;2.709;Não;;Não;568.450,18;;;6.668.176,04;;;;Sim;Sim;Sim;Sim;;Não;;;;10;209,84
310670;Betim;MG;Sudeste     ;RM Belo Horizonte ;2020;31067040;Divisão de Limpeza Urbana, Serviços e Educação Ambiental;DSA;Administração pública direta;444.784;441.539;Sim;311.360;Não;47.510.988,72;;;2.108.464.000,00;Não;;;Não;;;Não;;Sim;mar/15;Municipal;;374;107,6
310680;Bias Fortes;MG;Sudeste     ;;2020;31068040;Prefeitura Municipal de Bias Fortes;PMBF;Administração pública direta;3.329;1.316;Sim;690;Não;148.696,04;;;14.500.000,00;;;;;;;Não;;Não;;;;0;112,99
310690;Bicas;MG;Sudeste     ;;2020;31069040;Prefeitura Municipal;PMB;Administração pública direta;14.554;13.812;Não;;Sim;2.294.776,00;125.000,00;158.196,65;31.756.344,24;Não;;;;Sim;Não;Não;;Não;;;;9;166,14
310700;Biquinhas;MG;Sudeste     ;;2020;31070040;prefeitura municipal de Biquinhas;PMB;Administração pública direta;2.498;1.557;Não;;Não;150.000,00;;;21.781.729,09;;;;;;;Não;;Não;;;;4;96,34
310710;Boa Esperança;MG;Sudeste     ;;2020;31071040;Prefeitura Municipal de Boa Esperança;PMBE;Administração pública direta;40.219;33.614;Não;;Sim;3.301.227,83;5.491,12;5.341,04;120.542.817,59;Não;;;Sim;;;Não;;Não;;;;76;98,21
310720;Bocaina de Minas;MG;Sudeste     ;;2020;31072040;Prefeitura Municipal de Bocaina de Minas;PMBM;Administração pública direta;5.089;2.435;Não;;Não;682.641,00;;;15.697.915,02;;;;;;;Não;;Não;;;;3;280,35
310730;Bocaiúva;MG;Sudeste     ;;2020;31073040;SECRETARIA MUNICIPAL DE MEIO AMBIENTE E SERVIÇOS URBANOS;SEMMA;Administração pública direta;50.256;39.426;Sim;15.000;Sim;3.122.558,49;900.000,00;851.833,00;94.917.392,00;Não;;;;;;Não;;Não;;;;4;79,2
310740;Bom Despacho;MG;Sudeste     ;;2020;31074040;Secretaria Municipal de Meio Ambiente;SMMA;Administração pública direta;51.028;48.052;Sim;18.000;Sim;3.284.569,10;;1.820.509,30;140.308.573,12;;;;Sim;;;Sim;;Sim;nov/15;Municipal;;69;68,35
310750;Bom Jardim de Minas;MG;Sudeste     ;;2020;31075040;Prefeitura Municipal de Bom Jardim de Minas;PMBJM;Administração pública direta;6.459;5.540;Não;;Sim;307.506,62;3.562,68;2.947,15;21.813.002,18;Não;;;;;;Não;;Não;;;;0;55,51
310760;Bom Jesus da Penha;MG;Sudeste     ;;2020;31076040;Prefeitura Municipal de Bom Jesus da    Penha;PMBJP;Administração pública direta;4.244;3.084;Não;;Sim;428.216,45;42.000,00;40.000,00;18.388.798,50;Não;;;;;;Não;;Não;;;;0;138,85
310770;Bom Jesus do Amparo;MG;Sudeste     ;;2020;31077040;Prefeitura Municipal de Bom Jesus do Amparo;PMBJA;Administração pública direta;6.133;2.810;Sim;2.810;Sim;239.406,89;13.349,96;9.642,81;16.426.635,24;Não;;;;Sim;;Não;;Não;;;;0;85,2
310780;Bom Jesus do Galho;MG;Sudeste     ;;2020;31078040;Prefeitura Municipal de Bom Jesus do Galho;PMBJG;Administração pública direta;14.862;9.696;Não;;Não;175.800,00;;;30.936.950,00;Não;;;Sim;Sim;Sim;Não;;Sim;fev/16;Municipal;;0;18,13
310790;Bom Repouso;MG;Sudeste     ;;2020;31079040;Prefeitura Municipal de Bom Repouso;PMBR;Administração pública direta;10.537;5.722;Não;;Sim;193.417,00;;1;35.798.802,91;;;;;;;Não;;Não;;;;0;33,8
310800;Bom Sucesso;MG;Sudeste     ;;2020;31080040;Prefeitura Municipal  de Bom Sucesso;PMBS;Administração pública direta;17.607;14.494;Sim;;Não;1.089.375,02;;;48.916.911,70;;;;;;;Não;;Sim;mai/14;Municipal;;10;75,16
310810;Bonfim;MG;Sudeste     ;RM Belo Horizonte ;2020;31081040;Prefeitura Municipal de Bonfim;PMB;Administração pública direta;6.860;3.353;Não;;Sim;461.367,88;134.298,51;24.940,69;22.262.190,20;Não;;;Sim;Sim;Sim;Não;;Não;;;;0;137,6
310820;Bonfinópolis de Minas;MG;Sudeste     ;;2020;31082040;Prefeitura Municipal de Bonfinopolis de Minas;PM;Administração pública direta;5.444;3.840;Não;;Não;337.145,62;;;22.317.018,64;Não;;;Sim;Sim;O primeiro ano previsto para as metas é posterior a este ano de referência;Não;;Sim;jul/20;Municipal;;0;87,8
310825;Bonito de Minas;MG;Sudeste     ;;2020;31082540;Departamento de obra da da prefeitura do Bonito de Minas;DTPOBM;Administração pública direta;11.369;2.596;Não;;Não;475.545,24;;;30.816.699,12;Não;;;;;;Sim;;Não;;;;0;183,18
310830;Borda da Mata;MG;Sudeste     ;;2020;31083040;Prefeitura Municipal;PM;Administração pública direta;19.614;15.718;Não;;Sim;1.478.400,00;217.670,03;171.830,02;47.633.713,96;;;;;;;Não;;Não;;;;0;94,06
310840;Botelhos;MG;Sudeste     ;;2020;31084040;Prefeitura Municipal de Botelhos;PMB;Administração pública direta;14.949;11.388;Sim;11.000;Sim;869.525,72;120.000,00;90.925,10;36.000.000,00;Não;;;;;;Não;;Não;;;;6;76,35
310850;Botumirim;MG;Sudeste     ;;2020;31085040;SECRETARIA MUNICIPAL DE OBRAS;SMO;Administração pública direta;6.288;3.358;Não;;Não;560.000,00;;;13.500.000,00;Não;;;;;;Sim;;Sim;mai/19;Municipal;;2;166,77
310870;Brás Pires;MG;Sudeste     ;;2020;31087040;Prefeitura Municipal de Brás Pires;PMBP;Administração pública direta;4.293;2.058;Não;;Não;281.390,00;;;18.000.000,00;Não;;;Sim;Sim;Sim;Não;;Sim;set/15;Municipal;;0;136,73
310890;Brazópolis;MG;Sudeste     ;;2020;31089040;Prefeitura Municipal de Brazópolis;PMB;Administração pública direta;14.410;7.756;Sim;7.756;Sim;719.378,38;172.392,16;172.392,16;28.316.086,36;Não;;;Sim;Sim;Sim;Sim;;Sim;set/15;Municipal;;0;92,75
310900;Brumadinho;MG;Sudeste     ;RM Belo Horizonte ;2020;31090040;Prefeitura Municipal de Brumadinho;PMB;Administração pública direta;40.666;34.285;Sim;19.500;Não;4.430.855,00;;;172.242.699,37;Não;;;Sim;Sim;O primeiro ano previsto para as metas é posterior a este ano de referência;Não;;Sim;jan/11;Municipal;;15;129,24
310910;Bueno Brandão;MG;Sudeste     ;;2020;31091040;Prefeitura Municipal de Bueno Brandão;PMBB;Administração pública direta;10.991;5.726;Sim;5.726;Não;263.335,62;;;32.076.407,76;Não;;;;Sim;Sim;Não;;Sim;jun/13;Intermunicipal;[6 municípios]: Albertina - MG, Jacutinga - MG, Tocos do Moji - MG, Ouro Fino - MG, Monte Sião - MG, Inconfidentes - MG;2;45,99
310920;Buenópolis;MG;Sudeste     ;;2020;31092040;PREFEITURA MUNICIPAL DE BUENOPOLIS;MG;Administração pública direta;10.353;7.813;Não;;Sim;566.578,90;350.000,00;224.877,20;26.017.457,95;Não;;;;Sim;Sim;Sim;;Não;;;;0;72,52
310925;Bugre;MG;Sudeste     ;RM Vale do Aço;2020;31092540;Secretaria Municipal de Obras e Serviços Urbanos;SEMOSU;Administração pública direta;3.983;1.528;Não;;Não;141.750,00;;;14.256.625,52;Não;;;Não;Sim;;Sim;;Sim;dez/16;Municipal;;0;92,77
310930;Buritis;MG;Sudeste     ;RIDE DF e Entorno - Região Integrada de Desenvolvimento do Distrito Federal e Entorno;2020;31093040;SECRETARIA MUNICIPAL DE OBRAS PUBLICAS;SETOP;Empresa pública;25.013;17.712;Sim;;Não;1.375.951,00;;;78.047.406,00;;;;;;;Não;;Sim;;Municipal;;31;77,68
310945;Cabeceira Grande;MG;Sudeste     ;;2020;31094540;PREFEITURA DE CABECEIRA GRANDE;PMCG;Administração pública direta;6.988;5.736;Não;;Não;178.260,02;;;29.818.731,12;;;;;;;Não;;Sim;;Municipal;;0;31,08
310950;Cabo Verde;MG;Sudeste     ;;2020;31095040;Prefeitura Municipal de Cabo Verde;Pref. Mun. Cabo Verd;Administração pública direta;14.075;7.766;Não;;Sim;409.916,21;600.000,00;326.647,93;9.934.296,65;Não;;;;;;Não;;Não;;;;0;52,78
310960;Cachoeira da Prata;MG;Sudeste     ;;2020;31096040;Prefeitura Municipal de Cachoeira da Prata;PMCP;Administração pública direta;3.591;3.467;Não;;Não;92.262,01;;;13.337.137,71;Não;;;;;;Não;;Não;;;;0;26,61
310970;Cachoeira de Minas;MG;Sudeste     ;;2020;31097040;Prefeitura Municipal;PMCM;Administração pública direta;11.579;7.413;Sim;7.413;Sim;473.927,11;113.800,00;118.379,64;23.838.702,69;Não;;;;;;Sim;;Não;;;;0;63,93
310980;Cachoeira Dourada;MG;Sudeste     ;;2020;31098040;SECRETARIA MUNICIAL DE OBRAS E SERVIÇOS URBANOS E SECRETARIA MUNICIPAL DE AGRICULTURA E MEIO AMBIENT;PMCD;Administração pública direta;2.706;2.404;Não;;Não;484.438,27;;;22.219.446,53;Não;;;Não;Sim;Não;Não;;Sim;nov/14;Municipal;;13;201,51
310990;Caetanópolis;MG;Sudeste     ;;2020;31099040;Prefeitura Municipal de Caetanópolis;PMC;Administração pública direta;11.749;9.646;Não;;Sim;304.370,00;20.000,00;17.199,61;24.289.801,16;Não;;;Sim;Sim;Não;Sim;;Não;;;;0;31,55
311000;Caeté;MG;Sudeste     ;RM Belo Horizonte ;2020;31100040;Prefeitura Municipal de Caeté;PMC;Administração pública direta;45.047;39.173;Sim;39.173;Não;4.540.624,08;;;83.229.027,27;Não;;;;Sim;Sim;Não;;Sim;nov/15;Municipal;;52;115,91
311010;Caiana;MG;Sudeste     ;;2020;31101040;Secretaria Municipal de Obras e Infaestrutura;PMC;Administração pública direta;5.541;2.920;Não;;Não;760.000,00;;;24.400.800,00;;;;;;;Não;;Não;;;;0;260,27
311020;Cajuri;MG;Sudeste     ;;2020;31102040;Secretaria de Obras Públicas e Infraestrutura;SEOPI;Administração pública direta;3.974;2.058;Não;;Não;487.853,63;;;20.081.153,63;;;;;Sim;Sim;Não;;Sim;;Municipal;;0;237,05
311030;Caldas;MG;Sudeste     ;;2020;31103040;Prefeitura Municipal de Caldas;PMC;Administração pública direta;14.541;8.254;Sim;8.254;Sim;547.920,00;352.000,00;289.000,00;38.023.956,14;Não;;;;;;Sim;;Não;;;;3;66,38
